step,train_loss,val_loss
0,6.987764358520508,6.982862591743469
100,5.496033668518066,5.529936146736145
200,4.561032295227051,4.704706430435181
300,4.16610860824585,4.351923537254334
400,3.8752434253692627,4.161929392814637
500,3.7099738121032715,4.011345374584198
600,3.517366886138916,3.8943981289863587
700,3.4469196796417236,3.816659700870514
800,3.309450149536133,3.7734083414077757
900,3.270017623901367,3.7307910203933714
1000,3.141551971435547,3.699630618095398
1100,3.0855817794799805,3.674979877471924
1200,3.0177626609802246,3.6962796807289124
1300,2.949151039123535,3.700090169906616
1400,2.914588212966919,3.681201994419098
1500,2.9232771396636963,3.678046667575836
1600,2.8556151390075684,3.6917293429374696
1700,2.8139796257019043,3.6861692547798155
1800,2.7566094398498535,3.710430896282196
1900,2.7529289722442627,3.713456165790558
2000,2.732760190963745,3.705944776535034
2100,2.670201301574707,3.7331257104873656
2200,2.6766834259033203,3.726985228061676
2300,2.6645491123199463,3.7268609523773195
2400,2.6197917461395264,3.7685189723968504
2500,2.6203768253326416,3.7539873480796815
2600,2.6425745487213135,3.752647864818573
2700,2.554569721221924,3.7537630438804626
2800,2.555504560470581,3.734231448173523
2900,2.5615859031677246,3.7834754943847657
2999,2.5795202255249023,3.7708332180976867
